0 0.000 0.078 2.024
46 0.005 1.530 2.299
92 1.102 1.949 2.727
138 1.346 2.175 3.460
184 1.487 2.534 3.551
230 1.692 3.098 3.611
276 2.028 3.325 3.611
322 2.877 3.437 3.993
368 2.959 3.655 3.992
414 2.793 3.851 4.072
460 3.623 3.920 4.106
506 3.451 3.939 4.106
552 3.425 3.981 4.105
598 3.457 3.998 4.105
644 3.740 4.022 4.180
690 3.683 4.035 4.180
736 3.895 4.106 4.180
782 3.484 4.121 4.179
828 3.758 4.140 4.182
874 3.984 4.154 4.183
920 3.745 4.152 4.270
966 3.737 4.162 4.313
1012 3.660 4.169 4.313
1058 3.853 4.190 4.317
1104 2.539 4.162 4.313
1150 3.439 4.196 4.314
1196 3.690 4.226 4.314
1242 3.835 4.245 4.314
1288 4.182 4.258 4.266
1334 3.924 4.251 4.266
1380 4.066 4.254 4.281
1426 3.857 4.250 4.289
1472 4.240 4.260 4.294
1518 3.294 4.242 4.341
1564 4.131 4.258 4.297
1610 4.036 4.262 4.591
1656 2.263 4.223 4.298
1702 4.149 4.267 4.301
1748 4.172 4.269 4.301
1794 4.245 4.274 4.337
1840 3.818 4.268 4.337
1886 4.044 4.278 4.634
1932 4.229 4.373 4.597
1978 4.246 4.545 4.597
2024 4.213 4.572 4.597
2070 4.221 4.576 4.708
2116 4.491 4.587 4.708
2162 4.135 4.582 4.708
2208 4.361 4.591 4.710
2254 4.551 4.594 4.710
2300 4.562 4.596 4.710
2346 4.545 4.594 4.710
2392 3.647 4.577 4.710
2438 4.477 5.018 24.123
2484 4.569 12.194 24.123
2530 4.574 27.082 242.985
2576 23.760 81.120 243.444
2622 23.996 209.729 243.444
2668 23.664 238.525 243.444
2714 242.897 243.339 243.444
2760 243.349 243.368 243.444
2806 3.905 238.166 243.444
2852 4.191 238.169 243.444
2898 243.241 243.368 243.444
2944 242.865 243.360 243.444
2990 9.248 238.285 243.444
3036 243.339 243.376 243.487
3082 242.886 243.367 243.444
3128 242.855 243.371 243.444
3174 242.780 243.379 243.444
3220 243.072 243.394 243.444
3266 242.983 243.397 243.549
3312 242.822 243.402 243.549
3358 243.273 243.417 243.549
3404 243.341 243.435 243.550
3450 243.233 243.458 243.550
3496 243.186 243.487 243.550
3542 4.146 238.304 243.550
3588 242.637 243.509 243.552
3634 243.291 243.528 243.554
3680 243.020 243.530 243.552
3726 21.716 238.724 243.613
3772 243.166 243.542 243.717
3818 4.295 238.352 243.717
3864 242.610 243.553 243.721
3910 243.419 243.583 243.720
3956 242.737 243.599 243.720
4002 243.085 243.640 243.720
4048 243.476 243.668 243.720
4094 243.389 243.678 243.721
4140 242.503 243.670 243.778
4186 243.314 243.693 243.778
