0 12.30 24.98 37.87
60 13.97 26.06 37.40
120 14.93 27.26 37.73
180 16.97 28.44 37.90
240 18.47 29.34 38.40
300 18.97 30.05 38.63
360 20.20 30.68 39.33
420 21.80 31.39 39.67
480 22.40 32.05 39.87
540 22.80 32.45 40.03
600 23.30 32.96 40.20
660 24.13 33.37 40.60
720 23.97 33.78 41.00
780 24.27 34.39 41.10
840 25.27 34.79 41.20
900 25.87 35.06 41.10
960 26.40 35.38 41.63
1020 26.97 35.78 41.70
1080 27.90 36.15 41.93
1140 28.00 36.43 42.00
1200 28.67 36.66 42.10
1260 28.77 36.89 42.20
1320 29.53 37.17 42.20
1380 30.03 37.41 42.20
1440 30.70 37.54 42.63
1500 30.53 37.87 42.47
1560 30.73 38.04 42.63
1620 31.20 38.13 42.43
1680 31.63 38.13 42.93
1740 32.07 38.27 42.80
1800 32.43 38.41 42.87
1860 32.77 38.64 42.93
1920 32.83 38.69 43.03
1980 32.73 38.75 42.87
2040 33.27 38.92 42.90
2100 33.43 39.12 42.97
2160 33.57 39.15 42.97
2220 33.43 39.22 43.00
2280 33.53 39.36 42.97
2340 33.60 39.43 43.20
2400 34.03 39.60 43.27
2460 34.53 39.81 43.43
2520 34.53 39.87 43.53
2580 34.37 39.96 43.70
2640 34.83 40.04 43.63
2700 34.70 40.15 43.53
2760 34.60 40.20 43.57
2820 34.97 40.32 43.50
2880 34.97 40.37 43.47
2940 35.17 40.43 43.63
3000 35.70 40.54 43.73
3060 35.70 40.56 43.60
3120 35.60 40.60 44.00
3180 35.93 40.71 43.90
3240 35.80 40.72 44.03
3300 35.47 40.81 44.03
3360 36.00 40.86 44.07
3420 36.03 40.96 44.07
3480 36.17 40.98 44.10
3540 35.77 40.95 44.30
3600 36.03 40.97 44.27
3660 36.23 41.07 44.17
3720 36.13 41.08 44.17
3780 36.33 41.09 44.10
3840 36.67 41.15 44.07
3900 36.77 41.18 44.03
3960 36.77 41.18 44.17
4020 36.77 41.20 44.33
4080 36.77 41.28 44.30
4140 36.77 41.34 44.23
4200 36.90 41.43 44.10
4260 36.83 41.52 44.27
4320 36.93 41.52 44.17
4380 37.03 41.56 44.23
4440 37.13 41.63 44.03
4500 36.87 41.54 43.93
4560 37.13 41.60 44.03
4620 37.23 41.65 44.17
4680 36.97 41.67 44.23
4740 36.67 41.63 44.47
