Max Fitness:   97.65
Min Fitness:   82.5
Avg Fitness:   91.8535
[67] - 1101010011010111001101010010001110101100 - [accuracy: 93.4, numBits: 21, time: 333.664]
[68] - 0000110010000001100101011000100001100000 - [accuracy: 87.15, numBits: 12, time: 129.46]
[69] - 1001100011110011010011100000110011010111 - [accuracy: 94.95, numBits: 21, time: 263.225]
[70] - 0100000010111011100011011101011010010001 - [accuracy: 91.45, numBits: 19, time: 228.523]
[71] - 1000000101111000101001001101011110010110 - [accuracy: 94.5, numBits: 19, time: 249.428]
[72] - 0100000010001010010001110010111000001010 - [accuracy: 93.7, numBits: 14, time: 138.682]
[73] - 0110000001000001001111011000111011011110 - [accuracy: 96.4, numBits: 19, time: 243.337]
[74] - 0001010010010001110010001101001100001111 - [accuracy: 94.45, numBits: 17, time: 205.158]
[75] - 0100011110000011010110000100101100101000 - [accuracy: 89.45, numBits: 16, time: 196.242]
[76] - 1011100111011110100010110001110011111001 - [accuracy: 94.6, numBits: 24, time: 349.171]
[77] - 0110100010010100110000001010100111101111 - [accuracy: 94.3, numBits: 19, time: 246.335]
[78] - 0101010010010100011111110100011110010101 - [accuracy: 92.5, numBits: 21, time: 275.802]
[79] - 1110101110111011111011000101001010101000 - [accuracy: 89.25, numBits: 23, time: 313.953]
[80] - 0101011001101100111110001110111111100001 - [accuracy: 91.65, numBits: 24, time: 336.426]
[81] - 1111111100001010000100101001000001001110 - [accuracy: 90.95, numBits: 18, time: 218.289]
[82] - 1011101110110001001111011001101100001010 - [accuracy: 93.4, numBits: 22, time: 291.603]
[83] - 0001001100011111100100111010011111100001 - [accuracy: 94.8, numBits: 21, time: 274.147]
[84] - 0010111110000010001111011001000010001100 - [accuracy: 83.1, numBits: 17, time: 190.324]
[85] - 0101101101000101100011001010011000110111 - [accuracy: 93.55, numBits: 20, time: 253.126]
[86] - 0001000010000000110100010000001001100001 - [accuracy: 92.4, numBits: 10, time: 112.202]
[87] - 1011101010000110101101001011011100100110 - [accuracy: 97, numBits: 21, time: 272.534]
[88] - 1100010010101000011110001000111011101001 - [accuracy: 91.3, numBits: 19, time: 282.495]
[89] - 0111101001110100011110001101100000100100 - [accuracy: 85.55, numBits: 19, time: 237.061]
[90] - 1100100110100110011000000000001101111010 - [accuracy: 96.85, numBits: 17, time: 205.314]
[91] - 1011100000100011000011010010001110111001 - [accuracy: 90.15, numBits: 18, time: 230.449]
[92] - 0000011111001001011101101111100100100110 - [accuracy: 93.55, numBits: 21, time: 269.465]
[93] - 1010010110001001100001100110111010100010 - [accuracy: 93.65, numBits: 18, time: 211.696]
[94] - 0100011100111111010010100001001100100110 - [accuracy: 96.45, numBits: 19, time: 210.742]
[95] - 1111011110100001011111101100011011010100 - [accuracy: 92.45, numBits: 24, time: 295.857]
[96] - 0100110011010110010110001000100111010001 - [accuracy: 93.4, numBits: 18, time: 207.453]
[97] - 0110000101101110011111110011110100010010 - [accuracy: 95.05, numBits: 22, time: 301.073]
[98] - 0110101110110110100101011011110101010101 - [accuracy: 95, numBits: 24, time: 272.118]
[99] - 0110001011110101000111111011111011001100 - [accuracy: 90.9, numBits: 24, time: 265.725]
iteration (Normal): 0
Max Fitness:   97.05
Min Fitness:   84.25
Avg Fitness:   93.149
[00] - 1011101110110001001111011001101100001010 - [accuracy: 93.4, numBits: 22, time: 292.272]
[01] - 0100110011010110010110001000100111010001 - [accuracy: 93.4, numBits: 18, time: 207.453]
[02] - 1101010011010111001101010010001110111001 - [accuracy: 93.4, numBits: 21, time: 333.664]
