Id,Chrom,Accuracy,NumBits,Time
00,0000000100001100000000000000001100010011,97.4833,8,7.36392
01,0000000100001100000000000000001100010011,97.4833,8,7.36392
02,0000000100001100000000000000001100010011,97.4833,8,6.6848
03,0000000100001100000000000000001100010011,97.4833,8,7.36392
04,0000000100001110000000000000001100010011,97.4833,8,7.36392
05,0000000100001100000000000000001100010011,97.4319,7,7.42963
06,0000000100001110000000000000001100010011,97.4833,8,7.86526
07,0000000100001100000000000000001100010011,97.4833,8,7.36392
08,0000000100001100000000000000001100010011,97.4833,8,7.36392
09,0000000100001100000000000000001100010011,97.4833,8,7.86526
10,0000000100001110000000000000001100010011,97.4833,8,5.93723
11,0000000100001100000000000000001100010011,97.4833,8,7.36392
12,0000000100001100000000000000001100010011,97.4833,8,7.36392
13,0000000100001100000000000000001100010011,97.4833,8,7.36392
14,0000000100001110000000000000001100010011,97.4833,8,5.93723
15,0000000100001100000000000000001100010011,97.4833,8,7.36392
16,0000000100001110000000000000001100010011,97.4833,8,7.36392
17,0000000100001100000000000000001100010011,97.4833,8,7.54916
18,0000000100001100000000000000001100010011,97.4833,8,7.36392
19,0000000100001100000000000000001100010011,97.4833,8,7.36392
20,0000000100001100000000000000001100010011,97.4833,8,7.36392
21,0000000100001100000000000000001100010011,97.4833,8,7.36392
22,0000000100001100000000000000001100010011,97.4833,8,5.93723
23,0000000100001100000000000000001100010011,97.4833,8,7.36392
24,0000000100001100000000000000001100010011,97.4833,8,7.36392
25,0000000100001100000000000000001100010011,97.4833,8,8.41392
26,0000000100001100000000000000001000010011,97.4319,7,7.08924
27,0000000100001100000000000000001100010011,97.4833,8,8.35036
28,0000000100001100000000000000001100010011,97.4833,8,8.35036
29,0000000100001100000000000000001100010011,97.4833,8,7.30077
30,0000000100001100000000000000001100010011,97.4833,8,8.35036
31,0000000100001100000000000000001100010011,97.4833,8,8.35036
32,0000000100001100000000000000001100010011,97.4833,8,8.35036
33,0000000100001100000000000000001100010011,97.4833,8,8.35036
34,0000000100001100000000000000001100010011,97.4833,8,8.35036
35,0000000100001100000000000000001100010011,97.4833,8,8.35036
36,0000000100001100000000000000001100010011,97.4833,8,8.35036
37,0000000100001100000000000000001100010011,97.4833,8,8.35036
38,0000000100001100000000000000001100010011,97.4833,8,7.30077
39,0000000100001100000000000000001100010011,97.4833,8,7.36392
40,0000000100001100000000000000001100010011,97.4833,8,8.35036
41,0000000100001100000000000000001100010011,97.4319,7,5.76523
42,0000000100001100000000000000001100010011,97.4833,8,7.36392
43,0000000100001100000000000000001100010011,97.4833,8,7.36392
44,0000000100001100000000000000001100010011,97.4833,8,7.36392
45,0000000100001100000000000000001100010011,97.4833,8,7.36392
46,0000000100001100000000000000001100010011,97.4833,8,6.84207
47,0000000100001100000000000000001100010011,97.4833,8,7.36392
48,0000000100001100000000000000001100010011,97.4833,8,7.36392
49,0000000100001110000000000000001100010011,97.4833,8,8.35036
50,0000000100001100000000000000001100010011,97.4833,8,7.36392
51,0000000100001100000000000000001100010011,97.4833,8,7.36392
52,0000000100001100000000000000001100010011,97.4833,8,8.35036
53,0000000100001100000000000000001100010011,97.4833,8,7.36476
54,0000000100001100000000000000001100010011,97.4833,8,7.36392
55,0000000100001100000000000000001100010011,97.4833,8,7.36392
56,0000000100001100000000000000001100010011,97.4833,8,7.36392
57,0000000100001100000000000000001100010011,97.4833,8,7.36392
58,0000000100001100000000000000001100010011,97.4833,8,7.86526
59,0000000100001100000000000000001100010011,97.4833,8,7.36392
60,0000000100001100000000000000001100010011,97.4833,8,7.86526
61,0000000100001100000000000000001100010011,97.4833,8,7.86526
62,0000000100001100000000000000001100010011,97.4833,8,7.36392
63,0000000100001100000000000000001100010011,97.4833,8,7.36392
64,0000000100001100000000000000001100010011,97.4319,7,7.51124
65,0000000100001100000000000000001100010011,97.4833,8,7.36392
66,0000000100001100000000000000001100010011,97.4833,8,7.36392
67,0000000100001100000000000000001100010011,97.4833,8,7.36392
68,0000000100001100000000000000001100010011,97.4833,8,7.16968
69,0000000100001100000000000000001100010011,97.4833,8,7.36392
70,0000000100001100000000000000001100010011,97.4833,8,7.36392
71,0000000100001100000000000000001100010011,97.4833,8,7.36392
72,0000000100001100000000000000001100010011,97.4833,8,7.16968
73,0000000100001100000000000000001100010011,97.4833,8,7.86526
74,0000000100000100000000000000001100000011,97.0724,6,6.43901
75,0000000100001100000000000000001100011011,97.4833,8,7.36392
76,0000000100001100000000000000001100011011,97.4833,8,7.36392
77,0000000100001100000000000000001000010011,97.4319,7,6.80618
78,0000000100001100000000000000001100010011,97.4833,8,7.16968
79,0000000100001100000000000000001100010011,97.4833,8,7.86526
80,0000000100001100000000000000001100010011,97.4319,7,1.84857
81,0000000100001110000000000000001100010011,97.4833,8,5.93723
82,0000000100001100000000000000001100010011,97.4833,8,7.36392
83,0000000100001100000000000000001100010011,97.4833,8,7.36392
84,0000000100001100000000000000001100010011,97.4833,8,7.36392
85,0000000100001110000000000000001100010011,97.4833,8,7.36392
86,0000000100001110000000000000001100010011,97.4833,8,7.36392
87,0000000100001100000000000000001100010011,97.4833,8,7.36392
88,0000000100001100000000000000001100010011,97.4833,8,7.36392
89,0000000100001100000000000000001100010011,97.4833,8,7.36392
90,0000000100001100000000000000001100010011,97.4833,8,7.36392
91,0000000100001100000000000000001100010011,97.4833,8,7.02168
92,0000000100001100000000000000001100010011,97.4833,8,7.36392
93,0000000100001100000000000000001100010011,97.4833,8,8.35036
94,0000000100001100000000000000001100010011,97.4833,8,7.36392
95,0000000100001100000000000000001100010011,97.4833,8,8.35036
96,0000000100001100000000000000001100010011,97.4833,8,8.35036
97,0000000100001100000000000000001100010011,97.4833,8,5.93723
98,0000000100001100000000000000001100010011,97.4833,8,8.35036
99,0000000100001100000000000000001100010011,97.4833,8,8.35036
00,0000000100001100000000000000001100010011,97.4833,8,7.36392
01,0000000100001100000000000000001100010011,97.4833,8,7.30077
02,0000000100001100000000000000001100010011,97.4833,8,7.36392
03,0000000100001100000000000000001100010011,97.4833,8,8.35036
04,0000000100001100000000000000001100010011,97.4319,7,5.76523
05,0000000100001100000000000000001100010011,97.4833,8,7.36392
06,0000000100001100000000000000001100010011,97.4833,8,7.36392
07,0000000100001100000000000000001100010011,97.4833,8,7.36392
08,0000000100001100000000000000001100010011,97.4833,8,7.36392
09,0000000100001100000000000000001100010011,97.4833,8,6.84207
10,0000000100001100000000000000001100010011,97.4833,8,7.36392
11,0000000100001100000000000000001100010011,97.4833,8,8.35036
12,0000000100001110000000000000001100010011,97.4833,8,8.35036
13,0000000100001100000000000000001100010011,97.4833,8,7.36392
14,0000000100001100000000000000001100010011,97.4833,8,7.36392
15,0000000100001100000000000000001100010011,97.4833,8,8.35036
16,0000000100001100000000000000001100010011,97.4833,8,7.36476
17,0000000100001100000000000000001100010011,97.4833,8,7.36392
18,0000000100001100000000000000001100010011,97.4833,8,7.36392
19,0000000100001100000000000000001100010011,97.4833,8,7.36392
20,0000000100001100000000000000001100010011,97.4833,8,7.36392
21,0000000100001100000000000000001100010011,97.4833,8,8.35036
22,0000000100001100000000000000001100010011,97.4833,8,7.54916
23,0000000100001100000000000000001100010011,97.4833,8,7.36392
24,0000000100001100000000000000001100010011,97.4833,8,7.36392
25,0000000100001100000000000000001100010011,97.4833,8,7.36392
26,0000000100001110000000000000001100010011,97.4833,8,7.36392
27,0000000100001100000000000000001100010011,97.4833,8,5.93723
28,0000000100001100000000000000001100010011,97.4833,8,7.36392
29,0000000100001100000000000000001100010011,97.4833,8,7.36392
30,0000000100001100000000000000001100010011,97.4833,8,8.41392
31,0000000100001100000000000000001000010011,97.4319,7,7.08924
32,0000000100001100000000000000001100010011,97.4833,8,7.86526
33,0000000100001100000000000000001100010011,97.4833,8,8.35036
34,0000000100001100000000000000001100010011,97.4833,8,7.30077
35,0000000100001100000000000000001100010011,97.4833,8,8.35036
36,0000000100001100000000000000001100010011,97.4833,8,8.35036
37,0000000100001100000000000000001100010011,97.4833,8,8.35036
38,0000000100001100000000000000001100010011,97.4833,8,8.35036
39,0000000100001100000000000000001100010011,97.4833,8,8.35036
40,0000000100001100000000000000001100010011,97.4833,8,8.35036
41,0000000100001100000000000000001100010011,97.4833,8,8.35036
42,0000000100001100000000000000001100010011,97.4833,8,7.36392
43,0000000100001100000000000000001100010011,97.4319,7,1.84857
44,0000000100001110000000000000001100010011,97.4833,8,5.93723
45,0000000100001100000000000000001100010011,97.4833,8,7.36392
46,0000000100001100000000000000001100011011,97.4833,8,7.36392
47,0000000100001100000000000000001100010011,97.4833,8,7.36392
48,0000000100001110000000000000001100010011,97.4833,8,7.36392
49,0000000100001110000000000000001100010011,97.4833,8,7.36392
50,0000000100001100000000000000001100010011,97.4833,8,7.36392
51,0000000100001100000000000000001100010011,97.4833,8,7.36392
52,0000000100001110000000000000001100010011,97.4833,8,7.36392
53,0000000100001100000000000000001100010011,97.4833,8,7.86526
54,0000000100001100000000000000001100010011,97.4833,8,7.02168
55,0000000100001100000000000000001100010011,97.4833,8,7.36392
56,0000000100001100000000000000001100010011,97.4833,8,8.35036
57,0000000100001100000000000000001100010011,97.4833,8,7.36392
