0 0.02 0.07 0.64
30 0.02 0.30 0.74
60 0.04 0.50 1.04
90 0.07 0.60 1.25
120 0.06 0.72 1.45
150 0.08 0.83 1.63
180 0.08 0.97 1.94
210 0.11 1.17 3.34
240 0.08 1.97 5.68
270 0.10 3.38 7.83
300 0.14 4.22 11.61
330 0.10 6.38 19.40
360 0.10 8.48 23.62
390 0.33 12.60 33.80
420 0.33 18.72 48.06
450 0.07 24.51 56.38
480 0.18 30.92 58.25
510 0.15 38.66 80.61
540 0.36 45.23 97.21
570 0.12 58.03 167.64
600 0.14 75.61 297.88
630 0.44 131.54 663.81
660 1.21 242.42 696.09
690 0.18 344.35 761.05
720 0.16 507.48 815.00
750 0.13 503.10 983.33
780 1.57 618.68 998.64
810 0.21 584.52 1292.44
840 0.34 658.47 1358.71
870 1.16 735.67 1442.88
900 0.41 939.67 1929.22
930 5.22 951.13 1953.56
960 0.22 1281.51 2299.71
990 0.13 1411.12 2376.49
1020 0.10 1492.19 2796.23
1050 0.15 1751.07 3192.93
1080 0.12 1865.55 3652.89
1110 0.08 2194.31 3821.97
1140 1.15 2446.88 4235.00
1170 0.39 2717.85 4715.21
1200 0.21 3008.96 4825.81
1230 0.43 3492.65 5269.55
1260 0.29 3535.03 5275.49
1290 0.13 3690.30 5808.71
1320 0.14 3809.44 6418.36
1350 0.22 4201.96 7151.81
1380 4.51 4556.26 8194.18
1410 1.19 4980.51 8244.88
1440 0.30 5593.92 8615.15
1470 1.24 6072.43 8717.03
1500 0.16 6227.84 8771.03
1530 0.34 6288.38 8798.42
1560 0.98 6709.31 9282.73
1590 0.17 6532.71 9259.81
1620 1.50 6874.80 9633.45
1650 0.34 6823.69 10797.17
1680 0.47 7021.97 11131.04
1710 0.13 7451.10 11131.68
1740 0.99 8054.08 11131.60
1770 0.22 8438.23 11209.35
