   0 	 0.02 	 0.07 	 0.31
    1 	 0.03 	 0.16 	 0.38
    2 	 0.06 	 0.30 	 1.32
    3 	 0.04 	 0.60 	 1.32
    4 	 0.18 	 0.97 	 1.68
    5 	 0.22 	 1.09 	 2.20
    6 	 0.58 	 1.11 	 2.03
    7 	 0.32 	 1.15 	 2.08
    8 	 0.18 	 1.24 	 3.74
    9 	 0.23 	 1.29 	 2.68
   10 	 0.22 	 1.33 	 2.82
   11 	 0.04 	 1.71 	 2.82
   12 	 0.23 	 1.93 	 2.95
   13 	 0.04 	 1.99 	 2.93
   14 	 0.23 	 2.40 	 3.56
   15 	 1.35 	 3.12 	 15.01
   16 	 0.23 	 5.32 	 15.01
   17 	 0.04 	 5.35 	 15.01
   18 	 0.82 	 8.50 	 15.01
   19 	 3.01 	 10.89 	 16.84
   20 	 4.10 	 12.28 	 16.84
   21 	 2.68 	 11.49 	 15.01
   22 	 3.25 	 12.54 	 15.01
   23 	 0.17 	 13.10 	 15.01
   24 	 9.13 	 14.21 	 15.01
   25 	 12.28 	 14.90 	 15.01
   26 	 12.28 	 14.90 	 15.01
   27 	 12.28 	 14.90 	 15.01
   28 	 15.01 	 15.01 	 15.01
   29 	 15.01 	 15.01 	 15.01
   30 	 15.01 	 15.01 	 15.01
   31 	 15.01 	 15.01 	 15.01
   32 	 15.01 	 15.01 	 15.01
   33 	 15.01 	 15.01 	 15.01
   34 	 15.01 	 15.01 	 15.01
   35 	 15.01 	 15.01 	 15.01
   36 	 15.01 	 15.01 	 15.01
   37 	 15.01 	 15.01 	 15.01
   38 	 15.01 	 15.01 	 15.01
   39 	 15.01 	 15.01 	 15.01
   40 	 15.01 	 15.01 	 15.01
   41 	 15.01 	 15.01 	 15.01
   42 	 15.01 	 15.01 	 15.01
   43 	 15.01 	 15.01 	 15.01
   44 	 15.01 	 15.01 	 15.01
   45 	 15.01 	 15.01 	 15.01
   46 	 15.01 	 15.01 	 15.01
   47 	 15.01 	 15.01 	 15.01
   48 	 15.01 	 15.01 	 15.01
   49 	 15.01 	 15.01 	 15.01
 
