   0 	 0.000 	 0.044 	 0.322
    1 	 0.004 	 0.057 	 0.203
    2 	 0.002 	 0.171 	 1.340
    3 	 0.001 	 0.414 	 1.694
    4 	 0.003 	 1.190 	 2.633
    5 	 0.002 	 1.098 	 1.694
    6 	 0.020 	 1.410 	 3.232
    7 	 0.002 	 1.640 	 3.232
    8 	 0.003 	 1.574 	 3.232
    9 	 0.002 	 1.682 	 3.425
   10 	 0.099 	 2.304 	 3.425
   11 	 0.463 	 2.912 	 3.425
   12 	 0.136 	 2.792 	 3.455
   13 	 0.002 	 2.907 	 3.455
   14 	 0.003 	 2.907 	 3.466
   15 	 0.002 	 2.797 	 3.387
   16 	 0.002 	 2.453 	 3.408
   17 	 0.758 	 3.072 	 3.411
   18 	 0.002 	 2.710 	 3.411
   19 	 0.003 	 3.043 	 3.422
   20 	 0.555 	 3.039 	 3.439
   21 	 0.002 	 2.850 	 3.427
   22 	 0.011 	 2.841 	 3.427
   23 	 0.002 	 2.624 	 3.427
   24 	 0.144 	 2.883 	 3.427
   25 	 0.002 	 3.031 	 3.427
   26 	 0.002 	 2.677 	 3.429
   27 	 0.002 	 3.034 	 3.439
   28 	 3.280 	 3.407 	 3.427
   29 	 0.281 	 2.907 	 3.427
   30 	 0.148 	 3.061 	 3.439
   31 	 0.010 	 3.184 	 3.439
   32 	 0.002 	 3.040 	 3.427
   33 	 0.876 	 3.090 	 3.453
   34 	 0.152 	 3.044 	 3.439
   35 	 0.054 	 3.088 	 3.427
 
