0 13.83 25.02 36.03
30 15.00 26.08 37.47
60 15.73 27.47 38.00
90 17.73 28.45 38.37
120 19.07 29.53 39.00
150 20.57 30.50 39.63
180 20.83 31.34 39.80
210 21.43 32.01 40.47
240 22.07 32.62 40.50
270 23.77 33.39 41.00
300 25.77 34.02 41.13
330 26.10 34.46 40.93
360 26.73 35.07 41.43
390 27.63 35.58 41.37
420 28.20 35.94 41.57
450 28.57 36.20 42.23
480 28.87 36.57 42.37
510 29.47 36.80 42.30
540 29.40 36.94 42.47
570 30.37 37.31 42.60
600 31.07 37.56 42.77
630 30.90 37.63 42.90
660 31.77 37.78 42.70
690 31.97 38.07 42.63
720 32.37 38.20 42.83
750 32.77 38.36 42.97
780 32.87 38.53 42.90
810 33.67 38.59 42.90
840 33.60 38.71 42.73
870 34.03 38.83 42.60
900 34.17 39.08 42.80
930 34.43 39.09 42.73
960 34.70 39.26 42.93
990 34.60 39.43 43.13
1020 34.47 39.38 42.70
1050 35.07 39.57 42.97
1080 35.27 39.80 43.43
1110 35.40 40.05 43.33
1140 35.90 40.17 43.20
1170 35.90 40.24 43.30
1200 36.17 40.33 43.13
1230 36.03 40.41 43.30
1260 36.30 40.38 43.17
1290 36.07 40.34 43.13
1320 36.03 40.33 43.23
1350 36.53 40.43 43.03
1380 36.57 40.40 43.00
1410 36.27 40.31 43.00
1440 36.43 40.36 43.00
1470 35.97 40.30 43.10
1500 36.10 40.31 43.20
1530 36.57 40.43 43.00
1560 36.50 40.41 43.00
1590 36.33 40.44 42.87
1620 36.60 40.49 42.97
1650 37.10 40.43 42.70
1680 36.37 40.40 42.60
1710 36.80 40.46 42.70
1740 36.43 40.50 42.67
1770 36.93 40.66 42.73
1800 36.57 40.58 42.70
1830 36.80 40.59 42.70
1860 36.97 40.56 42.73
1890 36.97 40.52 42.53
1920 36.77 40.59 42.57
1950 37.43 40.72 42.43
1980 37.77 40.84 42.50
2010 37.47 40.80 42.60
2040 37.70 40.85 42.67
2070 37.67 40.82 42.70
2100 37.87 40.80 42.63
2130 37.50 40.79 42.63
2160 38.07 40.79 42.70
2190 37.93 40.78 42.67
2220 38.13 40.79 42.70
2250 38.37 40.83 42.73
2280 38.37 40.88 42.80
2310 37.97 40.89 42.67
2340 37.90 40.83 42.70
2370 37.83 40.78 42.60
2400 37.53 40.80 42.60
2430 37.40 40.85 42.50
2460 37.43 40.84 42.43
2490 37.80 40.80 42.43
2520 37.80 40.80 42.53
2550 37.63 40.79 42.43
2580 37.50 40.71 42.57
2610 37.60 40.77 42.43
2640 37.73 40.81 42.50
2670 37.77 40.88 42.70
