0 12.07 24.93 37.73
55 14.10 26.13 37.87
110 16.27 27.24 38.50
165 16.40 28.28 39.40
220 18.03 29.21 40.03
275 18.70 29.96 39.90
330 19.03 30.71 40.47
385 20.60 31.35 40.93
440 21.53 32.15 40.83
495 21.70 32.55 41.43
550 22.43 33.14 41.90
605 22.60 33.54 42.33
660 22.77 33.84 42.70
715 23.83 34.36 42.90
770 23.27 34.68 43.10
825 25.23 35.05 43.17
880 24.60 35.31 43.33
935 25.83 35.80 43.83
990 25.80 36.13 44.00
1045 26.30 36.38 43.63
1100 26.93 36.64 43.97
1155 26.63 36.83 43.97
1210 26.90 37.05 44.17
1265 26.90 37.27 43.97
1320 27.27 37.37 44.27
1375 27.80 37.60 44.43
1430 28.23 37.67 44.33
1485 28.40 37.66 44.30
1540 27.97 37.71 44.37
1595 27.67 37.74 44.43
1650 28.47 37.88 44.37
1705 28.60 37.89 44.17
1760 28.50 37.77 44.13
1815 28.97 37.78 44.20
1870 27.97 37.75 44.23
1925 27.97 37.78 44.63
1980 28.30 37.86 44.70
2035 28.20 38.09 44.73
2090 28.70 38.13 44.87
2145 29.67 38.23 44.70
2200 29.20 38.21 44.53
2255 29.13 38.19 44.37
2310 28.53 38.36 44.60
2365 29.57 38.29 44.77
2420 29.33 38.38 44.70
2475 29.13 38.21 44.83
2530 29.60 38.32 45.00
2585 29.37 38.46 44.87
2640 29.60 38.59 45.17
2695 30.00 38.83 45.13
2750 30.03 38.87 45.03
2805 29.97 38.86 45.10
2860 30.07 38.74 44.93
2915 29.43 38.78 45.17
2970 29.53 38.59 44.77
3025 28.83 38.61 44.97
3080 28.83 38.68 45.20
3135 29.13 38.76 45.30
3190 29.20 38.76 45.37
3245 29.13 38.87 44.97
