0 12.23 24.96 38.00
70 14.60 26.08 37.87
140 15.27 27.24 37.73
210 16.87 28.23 37.77
280 18.23 29.13 38.50
350 19.57 29.82 38.73
420 19.93 30.35 38.90
490 20.23 30.93 39.03
560 20.40 31.57 39.27
630 21.70 32.09 39.67
700 22.63 32.73 40.03
770 23.80 33.27 39.83
840 24.77 33.73 40.23
910 25.73 34.06 40.50
980 26.00 34.27 40.63
1050 26.50 34.58 41.00
1120 26.80 34.96 40.97
1190 27.50 35.20 41.03
1260 27.77 35.51 41.17
1330 28.27 35.79 41.40
1400 28.43 35.87 41.40
1470 28.53 36.18 41.37
1540 29.37 36.53 41.40
1610 29.70 36.85 41.73
1680 30.33 37.19 42.07
1750 30.73 37.45 42.23
1820 31.17 37.69 42.30
1890 31.37 37.89 42.10
1960 31.63 38.07 42.10
2030 32.20 38.25 42.27
2100 32.40 38.41 42.37
2170 32.40 38.53 42.20
2240 33.00 38.70 42.43
2310 33.40 38.84 42.47
2380 33.63 38.96 42.43
2450 33.90 39.12 42.37
2520 34.17 39.31 42.47
2590 34.33 39.47 42.50
2660 34.40 39.65 42.67
2730 35.00 39.78 42.70
2800 35.50 39.93 42.70
2870 35.73 40.01 42.83
2940 35.77 40.09 42.83
3010 35.87 40.22 42.73
3080 36.07 40.27 42.83
3150 36.63 40.37 42.70
3220 36.57 40.48 42.87
3290 36.70 40.50 42.93
3360 36.57 40.65 43.07
3430 36.60 40.70 42.93
3500 36.70 40.76 42.97
3570 36.87 40.81 42.90
3640 37.07 40.84 43.07
3710 37.03 40.92 43.03
3780 37.27 40.99 43.10
3850 37.40 41.07 43.20
3920 37.47 41.06 43.00
3990 37.80 41.09 43.00
4060 37.60 41.10 42.93
4130 37.63 41.15 43.03
