   0 	 0.001 	 0.209 	 2.825
    1 	 0.020 	 2.116 	 2.825
    2 	 0.020 	 2.457 	 2.825
    3 	 1.630 	 2.643 	 2.825
    4 	 0.886 	 2.528 	 2.838
    5 	 0.886 	 2.673 	 2.908
    6 	 0.886 	 2.673 	 2.908
    7 	 0.020 	 2.717 	 2.908
    8 	 2.800 	 2.833 	 2.908
    9 	 2.800 	 2.825 	 2.908
   10 	 1.639 	 2.750 	 2.916
   11 	 1.639 	 2.774 	 2.838
   12 	 2.806 	 2.821 	 2.838
   13 	 2.806 	 2.822 	 2.838
   14 	 2.806 	 2.824 	 2.838
   15 	 1.979 	 2.791 	 2.838
   16 	 1.979 	 2.790 	 2.838
   17 	 2.806 	 2.823 	 2.857
   18 	 2.806 	 2.828 	 2.857
   19 	 2.806 	 2.826 	 2.857
   20 	 2.825 	 2.826 	 2.857
   21 	 0.002 	 2.712 	 2.825
   22 	 1.894 	 2.787 	 2.825
   23 	 1.894 	 2.787 	 2.825
   24 	 1.894 	 2.787 	 2.825
   25 	 1.894 	 2.787 	 2.825
   26 	 1.894 	 2.787 	 2.825
   27 	 0.002 	 2.616 	 2.825
   28 	 2.825 	 2.825 	 2.825
   29 	 0.010 	 2.689 	 2.884
   30 	 2.194 	 2.774 	 2.825
   31 	 2.194 	 2.724 	 2.825
   32 	 1.351 	 2.640 	 2.825
   33 	 0.020 	 2.519 	 2.825
   34 	 1.351 	 2.522 	 2.832
   35 	 1.351 	 2.615 	 2.832
   36 	 0.439 	 2.569 	 2.825
   37 	 0.158 	 2.642 	 2.825
   38 	 0.010 	 2.578 	 2.884
   39 	 0.439 	 2.704 	 2.825
   40 	 2.194 	 2.774 	 2.825
   41 	 1.894 	 2.787 	 2.832
   42 	 1.894 	 2.750 	 2.832
   43 	 1.894 	 2.785 	 2.832
   44 	 2.806 	 2.824 	 2.832
   45 	 2.806 	 2.823 	 2.832
   46 	 2.806 	 2.823 	 2.832
   47 	 2.806 	 2.823 	 2.832
   48 	 2.806 	 2.820 	 2.825
   49 	 0.158 	 2.713 	 2.825
   50 	 1.894 	 2.782 	 2.825
   51 	 1.611 	 2.696 	 2.825
   52 	 0.433 	 2.680 	 2.830
   53 	 2.806 	 2.823 	 2.830
   54 	 2.806 	 2.824 	 2.830
   55 	 2.806 	 2.825 	 2.830
   56 	 2.806 	 2.824 	 2.830
   57 	 2.806 	 2.824 	 2.830
   58 	 2.825 	 2.825 	 2.832
   59 	 0.886 	 2.748 	 2.830
   60 	 0.003 	 2.635 	 2.830
   61 	 0.886 	 2.692 	 2.857
   62 	 2.825 	 2.826 	 2.830
   63 	 2.825 	 2.826 	 2.830
   64 	 2.825 	 2.826 	 2.830
   65 	 0.002 	 2.713 	 2.830
   66 	 2.825 	 2.826 	 2.830
   67 	 2.825 	 2.825 	 2.830
   68 	 2.771 	 2.823 	 2.830
   69 	 0.002 	 2.710 	 2.830
   70 	 2.825 	 2.825 	 2.830
   71 	 0.039 	 2.713 	 2.825
   72 	 2.825 	 2.825 	 2.825
   73 	 2.825 	 2.825 	 2.825
   74 	 0.886 	 2.747 	 2.825
 
