0 14.37 24.76 35.33
22 16.20 26.01 36.00
44 17.67 27.12 36.47
66 16.83 27.58 37.43
88 19.50 28.46 37.10
110 20.50 29.62 38.10
132 20.77 30.05 38.53
154 22.13 30.54 38.77
176 22.10 30.94 38.73
198 22.37 31.22 39.13
220 23.90 32.04 39.33
242 24.20 32.54 39.50
264 24.47 32.73 39.67
286 24.97 32.88 39.70
308 26.00 33.36 39.57
330 25.70 33.71 39.90
352 26.50 33.67 39.77
374 26.30 33.54 39.37
396 26.77 33.36 38.90
418 26.87 33.30 39.13
440 26.97 33.65 39.83
462 26.87 33.90 40.07
484 27.03 34.11 40.00
506 27.53 34.37 40.07
528 28.13 34.59 40.33
550 27.90 34.57 40.43
572 27.90 34.78 40.67
594 27.87 34.95 40.73
616 28.20 35.09 40.43
638 28.73 35.19 40.63
660 28.40 35.18 40.63
682 28.00 35.43 41.07
704 28.40 35.48 41.03
726 28.73 35.79 41.07
748 28.93 35.90 41.10
770 29.37 35.96 41.10
792 28.87 36.06 41.17
814 28.73 35.99 41.43
836 29.17 35.71 41.10
858 28.53 35.49 41.50
880 28.37 35.66 41.57
902 29.20 35.88 41.40
924 29.37 36.03 41.33
946 29.27 35.94 41.20
